[   77.760,    92.704]; seg_len = 14.944; step_len =  1.184; score =  0.000;    0
[   78.560,    93.472]; seg_len = 14.912; step_len =  0.800; score =  0.000;    0
[   79.680,    94.592]; seg_len = 14.912; step_len =  1.120; score =  0.000;    0
[   80.800,    95.744]; seg_len = 14.944; step_len =  1.120; score =  0.000;    0
[   81.536,    96.288]; seg_len = 14.752; step_len =  0.736; score =  0.000;    0
[   82.560,    96.896]; seg_len = 14.336; step_len =  1.024; score =  0.000;    0
[   83.520,    96.896]; seg_len = 13.376; step_len =  0.960; score =  0.000;    0
[   84.512,    99.072]; seg_len = 14.560; step_len =  0.992; score =  0.106;    1
[   85.856,   100.320]; seg_len = 14.464; step_len =  1.344; score =  0.106;    1
[   86.528,   101.472]; seg_len = 14.944; step_len =  0.672; score =  0.106;    1
[   87.552,   102.400]; seg_len = 14.848; step_len =  1.024; score =  0.106;    1
[   88.864,   103.680]; seg_len = 14.816; step_len =  1.312; score =  0.106;    1
[   89.472,   104.160]; seg_len = 14.688; step_len =  0.608; score =  0.106;    1
[   90.784,   105.632]; seg_len = 14.848; step_len =  1.312; score =  0.106;    1
[   91.520,   106.336]; seg_len = 14.816; step_len =  0.736; score =  0.106;    1
[   92.576,   107.296]; seg_len = 14.720; step_len =  1.056; score =  0.106;    1
[   93.440,   108.256]; seg_len = 14.816; step_len =  0.864; score =  0.106;    1
[   94.560,   109.504]; seg_len = 14.944; step_len =  1.120; score =  0.106;    1
[   95.424,   110.048]; seg_len = 14.624; step_len =  0.864; score =  0.106;    1
[   96.800,   111.136]; seg_len = 14.336; step_len =  1.376; score =  0.106;    1
[   98.720,   112.096]; seg_len = 13.376; step_len =  1.920; score =  0.106;    1
[   98.720,   112.096]; seg_len = 13.376; step_len =  0.000; score =  0.106;    1
[   99.680,   114.464]; seg_len = 14.784; step_len =  0.960; score =  0.106;    1
[  101.184,   115.936]; seg_len = 14.752; step_len =  1.504; score =  0.106;    1
[  101.440,   115.936]; seg_len = 14.496; step_len =  0.256; score =  0.106;    1
[  102.368,   117.312]; seg_len = 14.944; step_len =  0.928; score =  0.106;    1
[  103.456,   118.304]; seg_len = 14.848; step_len =  1.088; score =  0.106;    1
[  104.512,   119.456]; seg_len = 14.944; step_len =  1.056; score =  0.106;    1
[  105.344,   120.096]; seg_len = 14.752; step_len =  0.832; score =  0.106;    1
[  106.336,   121.280]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[  107.616,   121.984]; seg_len = 14.368; step_len =  1.280; score =  0.106;    1
[  109.184,   123.936]; seg_len = 14.752; step_len =  1.568; score =  0.106;    1
[  109.312,   124.256]; seg_len = 14.944; step_len =  0.128; score =  0.106;    1
[  110.432,   124.832]; seg_len = 14.400; step_len =  1.120; score =  0.106;    1
[  111.904,   126.848]; seg_len = 14.944; step_len =  1.472; score =  0.106;    1
[  113.696,   126.944]; seg_len = 13.248; step_len =  1.792; score =  0.106;    1
[  113.696,   126.944]; seg_len = 13.248; step_len =  0.000; score =  0.106;    1
[  114.304,   129.248]; seg_len = 14.944; step_len =  0.608; score =  0.106;    1
[  115.680,   130.368]; seg_len = 14.688; step_len =  1.376; score =  0.000;    0
[  116.512,   131.456]; seg_len = 14.944; step_len =  0.832; score =  0.000;    0
[  117.312,   132.256]; seg_len = 14.944; step_len =  0.800; score =  0.000;    0
[  118.272,   133.216]; seg_len = 14.944; step_len =  0.960; score =  0.106;    1
[  119.232,   134.080]; seg_len = 14.848; step_len =  0.960; score =  0.106;    1
[  120.384,   135.296]; seg_len = 14.912; step_len =  1.152; score =  0.106;    1
[  121.216,   136.000]; seg_len = 14.784; step_len =  0.832; score =  0.106;    1
