[    0.192,    20.032]; seg_len = 19.840; step_len =  0.000; score =  0.040;    1
[    1.600,    21.536]; seg_len = 19.936; step_len =  1.408; score =  0.080;    2
[    2.176,    22.144]; seg_len = 19.968; step_len =  0.576; score =  0.080;    2
[    3.328,    23.232]; seg_len = 19.904; step_len =  1.152; score =  0.080;    2
[    4.160,    24.128]; seg_len = 19.968; step_len =  0.832; score =  0.080;    2
[    5.280,    25.152]; seg_len = 19.872; step_len =  1.120; score =  0.080;    2
[    6.144,    26.080]; seg_len = 19.936; step_len =  0.864; score =  0.080;    2
[    7.200,    27.104]; seg_len = 19.904; step_len =  1.056; score =  0.080;    2
[    8.448,    28.384]; seg_len = 19.936; step_len =  1.248; score =  0.080;    2
[    9.120,    29.088]; seg_len = 19.968; step_len =  0.672; score =  0.080;    2
[   10.272,    30.240]; seg_len = 19.968; step_len =  1.152; score =  0.080;    2
[   11.104,    31.008]; seg_len = 19.904; step_len =  0.832; score =  0.080;    2
[   12.096,    32.064]; seg_len = 19.968; step_len =  0.992; score =  0.080;    2
[   13.088,    32.800]; seg_len = 19.712; step_len =  0.992; score =  0.080;    2
[   14.144,    34.112]; seg_len = 19.968; step_len =  1.056; score =  0.080;    2
[   15.072,    35.040]; seg_len = 19.968; step_len =  0.928; score =  0.080;    2
[   16.064,    35.840]; seg_len = 19.776; step_len =  0.992; score =  0.080;    2
[   17.888,    37.856]; seg_len = 19.968; step_len =  1.824; score =  0.080;    2
[   18.048,    38.016]; seg_len = 19.968; step_len =  0.160; score =  0.080;    2
[   19.040,    39.008]; seg_len = 19.968; step_len =  0.992; score =  0.080;    2
[   20.032,    40.000]; seg_len = 19.968; step_len =  0.992; score =  0.080;    2
[   21.024,    40.992]; seg_len = 19.968; step_len =  0.992; score =  0.080;    2
[   22.080,    41.888]; seg_len = 19.808; step_len =  1.056; score =  0.040;    1
[   23.008,    42.944]; seg_len = 19.936; step_len =  0.928; score =  0.040;    1
[   24.000,    43.936]; seg_len = 19.936; step_len =  0.992; score =  0.160;    4
[   25.024,    44.896]; seg_len = 19.872; step_len =  1.024; score =  0.160;    4
[   26.048,    45.888]; seg_len = 19.840; step_len =  1.024; score =  0.160;    4
[   27.072,    46.368]; seg_len = 19.296; step_len =  1.024; score =  0.160;    4
[   27.968,    47.328]; seg_len = 19.360; step_len =  0.896; score =  0.160;    4
[   29.088,    49.056]; seg_len = 19.968; step_len =  1.120; score =  0.160;    4
[   30.240,    50.112]; seg_len = 19.872; step_len =  1.152; score =  0.160;    4
[   30.944,    50.816]; seg_len = 19.872; step_len =  0.704; score =  0.160;    4
[   31.936,    51.488]; seg_len = 19.552; step_len =  0.992; score =  0.160;    4
[   33.152,    51.488]; seg_len = 18.336; step_len =  1.216; score =  0.160;    4
[   33.952,    53.920]; seg_len = 19.968; step_len =  0.800; score =  0.160;    4
[   34.944,    54.720]; seg_len = 19.776; step_len =  0.992; score =  0.160;    4
[   36.384,    55.936]; seg_len = 19.552; step_len =  1.440; score =  0.160;    4
[   36.928,    56.864]; seg_len = 19.936; step_len =  0.544; score =  0.160;    4
[   37.888,    57.856]; seg_len = 19.968; step_len =  0.960; score =  0.160;    4
[   38.880,    58.848]; seg_len = 19.968; step_len =  0.992; score =  0.160;    4
[   39.872,    59.840]; seg_len = 19.968; step_len =  0.992; score =  0.160;    4
[   40.896,    60.864]; seg_len = 19.968; step_len =  1.024; score =  0.160;    4
[   41.856,    61.824]; seg_len = 19.968; step_len =  0.960; score =  0.160;    4
[   42.880,    62.784]; seg_len = 19.904; step_len =  1.024; score =  0.160;    4
[   43.840,    63.808]; seg_len = 19.968; step_len =  0.960; score =  0.080;    2
[   44.896,    64.864]; seg_len = 19.968; step_len =  1.056; score =  0.160;    4
[   45.888,    65.792]; seg_len = 19.904; step_len =  0.992; score =  0.160;    4
[   47.328,    67.232]; seg_len = 19.904; step_len =  1.440; score =  0.160;    4
[   48.768,    68.704]; seg_len = 19.936; step_len =  1.440; score =  0.160;    4
[   48.800,    68.768]; seg_len = 19.968; step_len =  0.032; score =  0.160;    4
[   49.920,    69.792]; seg_len = 19.872; step_len =  1.120; score =  0.160;    4
[   50.784,    70.752]; seg_len = 19.968; step_len =  0.864; score =  0.160;    4
[   53.728,    73.696]; seg_len = 19.968; step_len =  2.944; score =  0.160;    4
[   53.728,    73.696]; seg_len = 19.968; step_len =  0.000; score =  0.160;    4
[   53.760,    73.696]; seg_len = 19.936; step_len =  0.032; score =  0.160;    4
[   55.072,    74.976]; seg_len = 19.904; step_len =  1.312; score =  0.160;    4
[   55.776,    75.488]; seg_len = 19.712; step_len =  0.704; score =  0.160;    4
[   56.768,    76.736]; seg_len = 19.968; step_len =  0.992; score =  0.160;    4
[   57.760,    77.536]; seg_len = 19.776; step_len =  0.992; score =  0.160;    4
[   58.720,    78.656]; seg_len = 19.936; step_len =  0.960; score =  0.160;    4
[   59.712,    79.680]; seg_len = 19.968; step_len =  0.992; score =  0.160;    4
[   60.800,    80.352]; seg_len = 19.552; step_len =  1.088; score =  0.160;    4
[   61.696,    81.600]; seg_len = 19.904; step_len =  0.896; score =  0.160;    4
[   62.688,    82.592]; seg_len = 19.904; step_len =  0.992; score =  0.160;    4
[   63.712,    83.584]; seg_len = 19.872; step_len =  1.024; score =  0.120;    3
[   64.672,    84.640]; seg_len = 19.968; step_len =  0.960; score =  0.080;    2
[   65.664,    85.216]; seg_len = 19.552; step_len =  0.992; score =  0.080;    2
[   66.656,    86.592]; seg_len = 19.936; step_len =  0.992; score =  0.080;    2
[   68.704,    87.968]; seg_len = 19.264; step_len =  2.048; score =  0.080;    2
[   68.704,    87.968]; seg_len = 19.264; step_len =  0.000; score =  0.080;    2
