[    0.192,    29.728]; seg_len = 29.536; step_len =  0.000; score =  0.055;    2
[    1.600,    31.552]; seg_len = 29.952; step_len =  1.408; score =  0.055;    2
[    2.176,    32.128]; seg_len = 29.952; step_len =  0.576; score =  0.055;    2
[    3.328,    33.248]; seg_len = 29.920; step_len =  1.152; score =  0.055;    2
[    4.160,    34.112]; seg_len = 29.952; step_len =  0.832; score =  0.055;    2
[    5.280,    35.232]; seg_len = 29.952; step_len =  1.120; score =  0.055;    2
[    6.144,    35.840]; seg_len = 29.696; step_len =  0.864; score =  0.055;    2
[    7.200,    37.024]; seg_len = 29.824; step_len =  1.056; score =  0.055;    2
[    8.448,    38.304]; seg_len = 29.856; step_len =  1.248; score =  0.055;    2
[    9.120,    39.072]; seg_len = 29.952; step_len =  0.672; score =  0.055;    2
[   10.272,    40.160]; seg_len = 29.888; step_len =  1.152; score =  0.055;    2
[   11.104,    40.992]; seg_len = 29.888; step_len =  0.832; score =  0.055;    2
[   12.096,    41.888]; seg_len = 29.792; step_len =  0.992; score =  0.055;    2
[   13.088,    43.040]; seg_len = 29.952; step_len =  0.992; score =  0.055;    2
[   14.144,    44.096]; seg_len = 29.952; step_len =  1.056; score =  0.110;    4
[   15.072,    44.896]; seg_len = 29.824; step_len =  0.928; score =  0.110;    4
[   16.064,    45.888]; seg_len = 29.824; step_len =  0.992; score =  0.110;    4
[   17.888,    47.328]; seg_len = 29.440; step_len =  1.824; score =  0.110;    4
[   18.048,    47.328]; seg_len = 29.280; step_len =  0.160; score =  0.110;    4
[   19.040,    48.960]; seg_len = 29.920; step_len =  0.992; score =  0.110;    4
[   20.032,    49.984]; seg_len = 29.952; step_len =  0.992; score =  0.110;    4
[   21.024,    50.976]; seg_len = 29.952; step_len =  0.992; score =  0.110;    4
[   22.080,    51.488]; seg_len = 29.408; step_len =  1.056; score =  0.110;    4
[   23.008,    51.488]; seg_len = 28.480; step_len =  0.928; score =  0.110;    4
[   24.000,    53.952]; seg_len = 29.952; step_len =  0.992; score =  0.110;    4
[   25.024,    54.720]; seg_len = 29.696; step_len =  1.024; score =  0.110;    4
[   26.048,    55.936]; seg_len = 29.888; step_len =  1.024; score =  0.110;    4
[   27.072,    56.992]; seg_len = 29.920; step_len =  1.024; score =  0.110;    4
[   27.968,    57.856]; seg_len = 29.888; step_len =  0.896; score =  0.110;    4
[   29.088,    58.848]; seg_len = 29.760; step_len =  1.120; score =  0.110;    4
[   30.240,    60.192]; seg_len = 29.952; step_len =  1.152; score =  0.110;    4
[   30.944,    60.896]; seg_len = 29.952; step_len =  0.704; score =  0.110;    4
[   31.936,    61.856]; seg_len = 29.920; step_len =  0.992; score =  0.110;    4
[   33.152,    62.976]; seg_len = 29.824; step_len =  1.216; score =  0.110;    4
[   33.952,    63.904]; seg_len = 29.952; step_len =  0.800; score =  0.110;    4
[   34.944,    64.864]; seg_len = 29.920; step_len =  0.992; score =  0.110;    4
[   36.384,    66.336]; seg_len = 29.952; step_len =  1.440; score =  0.110;    4
[   36.928,    66.656]; seg_len = 29.728; step_len =  0.544; score =  0.110;    4
[   37.888,    67.360]; seg_len = 29.472; step_len =  0.960; score =  0.110;    4
[   38.880,    68.832]; seg_len = 29.952; step_len =  0.992; score =  0.110;    4
[   39.872,    69.792]; seg_len = 29.920; step_len =  0.992; score =  0.110;    4
[   40.896,    70.848]; seg_len = 29.952; step_len =  1.024; score =  0.110;    4
[   41.856,    71.584]; seg_len = 29.728; step_len =  0.960; score =  0.110;    4
[   42.880,    72.832]; seg_len = 29.952; step_len =  1.024; score =  0.110;    4
[   43.840,    73.792]; seg_len = 29.952; step_len =  0.960; score =  0.110;    4
[   44.896,    74.848]; seg_len = 29.952; step_len =  1.056; score =  0.110;    4
[   45.888,    75.488]; seg_len = 29.600; step_len =  0.992; score =  0.110;    4
[   47.328,    77.152]; seg_len = 29.824; step_len =  1.440; score =  0.110;    4
[   48.768,    78.656]; seg_len = 29.888; step_len =  1.440; score =  0.110;    4
[   48.800,    78.656]; seg_len = 29.856; step_len =  0.032; score =  0.110;    4
[   49.920,    79.808]; seg_len = 29.888; step_len =  1.120; score =  0.110;    4
[   50.784,    80.352]; seg_len = 29.568; step_len =  0.864; score =  0.110;    4
[   53.728,    83.584]; seg_len = 29.856; step_len =  2.944; score =  0.110;    4
[   53.728,    83.584]; seg_len = 29.856; step_len =  0.000; score =  0.110;    4
[   53.760,    83.712]; seg_len = 29.952; step_len =  0.032; score =  0.110;    4
[   55.072,    84.960]; seg_len = 29.888; step_len =  1.312; score =  0.110;    4
[   55.776,    85.216]; seg_len = 29.440; step_len =  0.704; score =  0.110;    4
[   56.768,    86.720]; seg_len = 29.952; step_len =  0.992; score =  0.110;    4
[   57.760,    87.584]; seg_len = 29.824; step_len =  0.992; score =  0.110;    4
[   58.720,    87.968]; seg_len = 29.248; step_len =  0.960; score =  0.110;    4
[   59.712,    89.632]; seg_len = 29.920; step_len =  0.992; score =  0.110;    4
[   60.800,    90.304]; seg_len = 29.504; step_len =  1.088; score =  0.110;    4
[   61.696,    91.648]; seg_len = 29.952; step_len =  0.896; score =  0.110;    4
[   62.688,    92.576]; seg_len = 29.888; step_len =  0.992; score =  0.110;    4
[   63.712,    93.664]; seg_len = 29.952; step_len =  1.024; score =  0.083;    3
[   64.672,    94.592]; seg_len = 29.920; step_len =  0.960; score =  0.083;    3
[   65.664,    95.616]; seg_len = 29.952; step_len =  0.992; score =  0.083;    3
[   66.656,    96.288]; seg_len = 29.632; step_len =  0.992; score =  0.083;    3
[   68.704,    96.896]; seg_len = 28.192; step_len =  2.048; score =  0.083;    3
[   68.704,    96.896]; seg_len = 28.192; step_len =  0.000; score =  0.083;    3
[   69.632,    99.072]; seg_len = 29.440; step_len =  0.928; score =  0.083;    3
[   70.720,   100.320]; seg_len = 29.600; step_len =  1.088; score =  0.083;    3
[   71.840,   101.632]; seg_len = 29.792; step_len =  1.120; score =  0.083;    3
[   72.704,   102.400]; seg_len = 29.696; step_len =  0.864; score =  0.083;    3
[   73.696,   103.552]; seg_len = 29.856; step_len =  0.992; score =  0.055;    2
[   74.752,   104.544]; seg_len = 29.792; step_len =  1.056; score =  0.055;    2
[   75.872,   105.632]; seg_len = 29.760; step_len =  1.120; score =  0.055;    2
[   76.576,   106.528]; seg_len = 29.952; step_len =  0.704; score =  0.055;    2
[   77.760,   107.616]; seg_len = 29.856; step_len =  1.184; score =  0.055;    2
[   78.560,   108.256]; seg_len = 29.696; step_len =  0.800; score =  0.055;    2
[   79.680,   109.568]; seg_len = 29.888; step_len =  1.120; score =  0.055;    2
[   80.800,   110.560]; seg_len = 29.760; step_len =  1.120; score =  0.083;    3
[   81.536,   111.136]; seg_len = 29.600; step_len =  0.736; score =  0.083;    3
[   82.560,   112.096]; seg_len = 29.536; step_len =  1.024; score =  0.083;    3
[   83.520,   112.096]; seg_len = 28.576; step_len =  0.960; score =  0.083;    3
[   84.512,   114.464]; seg_len = 29.952; step_len =  0.992; score =  0.083;    3
[   85.856,   115.744]; seg_len = 29.888; step_len =  1.344; score =  0.083;    3
[   86.528,   115.936]; seg_len = 29.408; step_len =  0.672; score =  0.083;    3
[   87.552,   117.472]; seg_len = 29.920; step_len =  1.024; score =  0.083;    3
[   88.864,   118.752]; seg_len = 29.888; step_len =  1.312; score =  0.083;    3
[   89.472,   119.424]; seg_len = 29.952; step_len =  0.608; score =  0.083;    3
[   90.784,   120.736]; seg_len = 29.952; step_len =  1.312; score =  0.083;    3
[   91.520,   121.312]; seg_len = 29.792; step_len =  0.736; score =  0.083;    3
[   92.576,   121.984]; seg_len = 29.408; step_len =  1.056; score =  0.083;    3
[   93.440,   123.360]; seg_len = 29.920; step_len =  0.864; score =  0.083;    3
[   94.560,   124.480]; seg_len = 29.920; step_len =  1.120; score =  0.083;    3
[   95.424,   124.832]; seg_len = 29.408; step_len =  0.864; score =  0.083;    3
[   96.800,   126.752]; seg_len = 29.952; step_len =  1.376; score =  0.083;    3
[   98.720,   126.944]; seg_len = 28.224; step_len =  1.920; score =  0.083;    3
[   98.720,   126.944]; seg_len = 28.224; step_len =  0.000; score =  0.083;    3
[   99.680,   129.504]; seg_len = 29.824; step_len =  0.960; score =  0.083;    3
[  101.184,   131.072]; seg_len = 29.888; step_len =  1.504; score =  0.083;    3
[  101.440,   131.392]; seg_len = 29.952; step_len =  0.256; score =  0.083;    3
[  102.368,   132.320]; seg_len = 29.952; step_len =  0.928; score =  0.083;    3
[  103.456,   133.248]; seg_len = 29.792; step_len =  1.088; score =  0.083;    3
[  104.512,   134.432]; seg_len = 29.920; step_len =  1.056; score =  0.083;    3
[  105.344,   135.296]; seg_len = 29.952; step_len =  0.832; score =  0.083;    3
[  106.336,   136.288]; seg_len = 29.952; step_len =  0.992; score =  0.083;    3
[  107.616,   137.536]; seg_len = 29.920; step_len =  1.280; score =  0.083;    3
[  109.184,   139.136]; seg_len = 29.952; step_len =  1.568; score =  0.083;    3
[  109.312,   139.264]; seg_len = 29.952; step_len =  0.128; score =  0.083;    3
[  110.432,   140.384]; seg_len = 29.952; step_len =  1.120; score =  0.083;    3
[  111.904,   141.696]; seg_len = 29.792; step_len =  1.472; score =  0.055;    2
[  113.696,   142.496]; seg_len = 28.800; step_len =  1.792; score =  0.055;    2
[  113.696,   142.496]; seg_len = 28.800; step_len =  0.000; score =  0.055;    2
[  114.304,   144.256]; seg_len = 29.952; step_len =  0.608; score =  0.055;    2
[  115.680,   145.632]; seg_len = 29.952; step_len =  1.376; score =  0.055;    2
[  116.512,   146.464]; seg_len = 29.952; step_len =  0.832; score =  0.055;    2
[  117.312,   147.264]; seg_len = 29.952; step_len =  0.800; score =  0.055;    2
[  118.272,   148.224]; seg_len = 29.952; step_len =  0.960; score =  0.055;    2
[  119.232,   149.184]; seg_len = 29.952; step_len =  0.960; score =  0.055;    2
[  120.384,   149.984]; seg_len = 29.600; step_len =  1.152; score =  0.055;    2
[  121.216,   151.168]; seg_len = 29.952; step_len =  0.832; score =  0.055;    2
[  122.592,   152.320]; seg_len = 29.728; step_len =  1.376; score =  0.055;    2
[  123.264,   152.992]; seg_len = 29.728; step_len =  0.672; score =  0.055;    2
[  124.192,   153.888]; seg_len = 29.696; step_len =  0.928; score =  0.055;    2
[  125.408,   155.328]; seg_len = 29.920; step_len =  1.216; score =  0.055;    2
[  126.272,   156.128]; seg_len = 29.856; step_len =  0.864; score =  0.055;    2
