[    0.192,    20.032]; seg_len1 = 19.840; step_len1 =  0.000; [    0.608,    20.544]; seg_len2 = 19.936; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.000; score = 34.0614;  998
[    1.600,    21.536]; seg_len1 = 19.936; step_len1 =  1.408; [    1.984,    21.952]; seg_len2 = 19.968; step_len2 =  1.376; start_diff = -0.384; step_diff =  0.032; score = 33.1996;  993
[    2.176,    22.144]; seg_len1 = 19.968; step_len1 =  0.576; [    2.592,    22.464]; seg_len2 = 19.872; step_len2 =  0.608; start_diff = -0.416; step_diff = -0.032; score = 33.3110;  995
[    3.328,    23.232]; seg_len1 = 19.904; step_len1 =  1.152; [    3.584,    23.520]; seg_len2 = 19.936; step_len2 =  0.992; start_diff = -0.256; step_diff =  0.160; score = 32.4278;  955
[    4.160,    24.128]; seg_len1 = 19.968; step_len1 =  0.832; [    4.640,    24.608]; seg_len2 = 19.968; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.224; score = 32.3104;  916
[    5.280,    25.152]; seg_len1 = 19.872; step_len1 =  1.120; [    5.792,    25.696]; seg_len2 = 19.904; step_len2 =  1.152; start_diff = -0.512; step_diff = -0.032; score = 31.7055;  857
[    6.144,    26.080]; seg_len1 = 19.936; step_len1 =  0.864; [    6.624,    26.432]; seg_len2 = 19.808; step_len2 =  0.832; start_diff = -0.480; step_diff =  0.032; score = 32.3906;  859
[    7.200,    27.104]; seg_len1 = 19.904; step_len1 =  1.056; [    7.744,    27.616]; seg_len2 = 19.872; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.064; score = 33.0525;  863
[    8.448,    28.384]; seg_len1 = 19.936; step_len1 =  1.248; [    8.736,    28.672]; seg_len2 = 19.936; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.256; score = 35.0863;  894
[    9.120,    29.088]; seg_len1 = 19.968; step_len1 =  0.672; [    9.664,    29.568]; seg_len2 = 19.904; step_len2 =  0.928; start_diff = -0.544; step_diff = -0.256; score = 34.3054;  847
[   10.272,    30.240]; seg_len1 = 19.968; step_len1 =  1.152; [   10.912,    30.848]; seg_len2 = 19.936; step_len2 =  1.248; start_diff = -0.640; step_diff = -0.096; score = 32.8235;  837
[   11.104,    31.008]; seg_len1 = 19.904; step_len1 =  0.832; [   11.520,    31.424]; seg_len2 = 19.904; step_len2 =  0.608; start_diff = -0.416; step_diff =  0.224; score = 31.6898;  752
[   12.096,    32.064]; seg_len1 = 19.968; step_len1 =  0.992; [   12.608,    32.416]; seg_len2 = 19.808; step_len2 =  1.088; start_diff = -0.512; step_diff = -0.096; score = 32.8924;  746
[   13.088,    32.800]; seg_len1 = 19.712; step_len1 =  0.992; [   13.568,    33.280]; seg_len2 = 19.712; step_len2 =  0.960; start_diff = -0.480; step_diff =  0.032; score = 35.4682;  731
[   14.144,    34.112]; seg_len1 = 19.968; step_len1 =  1.056; [   14.560,    34.528]; seg_len2 = 19.968; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.064; score = 36.4372;  720
[   15.072,    35.040]; seg_len1 = 19.968; step_len1 =  0.928; [   15.552,    35.424]; seg_len2 = 19.872; step_len2 =  0.992; start_diff = -0.480; step_diff = -0.064; score = 32.2807;  644
[   16.064,    35.840]; seg_len1 = 19.776; step_len1 =  0.992; [   16.608,    36.576]; seg_len2 = 19.968; step_len2 =  1.056; start_diff = -0.544; step_diff = -0.064; score = 31.4992;  624
[   17.888,    37.856]; seg_len1 = 19.968; step_len1 =  1.824; [   17.536,    37.504]; seg_len2 = 19.968; step_len2 =  0.928; start_diff =  0.352; step_diff =  0.896; score = 32.2961;  602
[   18.048,    38.016]; seg_len1 = 19.968; step_len1 =  0.160; [   18.464,    38.144]; seg_len2 = 19.680; step_len2 =  0.928; start_diff = -0.416; step_diff = -0.768; score = 33.2628;  629
[   19.040,    39.008]; seg_len1 = 19.968; step_len1 =  0.992; [   19.520,    39.424]; seg_len2 = 19.904; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.064; score = 35.6828;  648
[   20.032,    40.000]; seg_len1 = 19.968; step_len1 =  0.992; [   20.448,    40.416]; seg_len2 = 19.968; step_len2 =  0.928; start_diff = -0.416; step_diff =  0.064; score = 34.7537;  628
[   21.024,    40.992]; seg_len1 = 19.968; step_len1 =  0.992; [   21.440,    41.408]; seg_len2 = 19.968; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 31.5194;  585
[   22.080,    41.888]; seg_len1 = 19.808; step_len1 =  1.056; [   22.464,    42.240]; seg_len2 = 19.776; step_len2 =  1.024; start_diff = -0.384; step_diff =  0.032; score = 31.0026;  603
[   23.008,    42.944]; seg_len1 = 19.936; step_len1 =  0.928; [   23.488,    43.456]; seg_len2 = 19.968; step_len2 =  1.024; start_diff = -0.480; step_diff = -0.096; score = 31.6995;  595
[   24.000,    43.936]; seg_len1 = 19.936; step_len1 =  0.992; [   24.416,    44.320]; seg_len2 = 19.904; step_len2 =  0.928; start_diff = -0.416; step_diff =  0.064; score = 29.5056;  555
[   25.024,    44.896]; seg_len1 = 19.872; step_len1 =  1.024; [   25.664,    45.600]; seg_len2 = 19.936; step_len2 =  1.248; start_diff = -0.640; step_diff = -0.224; score = 28.5791;  529
[   26.048,    45.888]; seg_len1 = 19.840; step_len1 =  1.024; [   26.432,    46.400]; seg_len2 = 19.968; step_len2 =  0.768; start_diff = -0.384; step_diff =  0.256; score = 26.3987;  486
[   27.072,    46.368]; seg_len1 = 19.296; step_len1 =  1.024; [   27.488,    47.392]; seg_len2 = 19.904; step_len2 =  1.056; start_diff = -0.416; step_diff = -0.032; score = 24.9862;  454
[   27.968,    47.328]; seg_len1 = 19.360; step_len1 =  0.896; [   28.384,    48.000]; seg_len2 = 19.616; step_len2 =  0.896; start_diff = -0.416; step_diff =  0.000; score = 25.7362;  437
[   29.088,    49.056]; seg_len1 = 19.968; step_len1 =  1.120; [   29.408,    48.512]; seg_len2 = 19.104; step_len2 =  1.024; start_diff = -0.320; step_diff =  0.096; score = 25.2809;  405
[   30.240,    50.112]; seg_len1 = 19.872; step_len1 =  1.152; [   30.368,    48.512]; seg_len2 = 18.144; step_len2 =  0.960; start_diff = -0.128; step_diff =  0.192; score = 23.8349;  358
