[   30.944,    40.896]; seg_len1 =  9.952; step_len1 =  0.704; [   31.424,    41.376]; seg_len2 =  9.952; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.352; score = 22.6966;  202
[   31.936,    41.888]; seg_len1 =  9.952; step_len1 =  0.992; [   32.416,    42.240]; seg_len2 =  9.824; step_len2 =  0.992; start_diff = -0.480; step_diff =  0.000; score = 22.8718;  223
[   33.152,    43.104]; seg_len1 =  9.952; step_len1 =  1.216; [   33.984,    43.808]; seg_len2 =  9.824; step_len2 =  1.568; start_diff = -0.832; step_diff = -0.352; score = 19.0344;  205
[   33.952,    43.904]; seg_len1 =  9.952; step_len1 =  0.800; [   34.400,    44.320]; seg_len2 =  9.920; step_len2 =  0.416; start_diff = -0.448; step_diff =  0.384; score = 19.6190;  206
[   34.944,    44.896]; seg_len1 =  9.952; step_len1 =  0.992; [   35.328,    45.056]; seg_len2 =  9.728; step_len2 =  0.928; start_diff = -0.384; step_diff =  0.064; score = 20.3666;  200
[   36.384,    46.336]; seg_len1 =  9.952; step_len1 =  1.440; [   36.384,    46.272]; seg_len2 =  9.888; step_len2 =  1.056; start_diff =  0.000; step_diff =  0.384; score = 17.8218;  180
[   36.928,    46.368]; seg_len1 =  9.440; step_len1 =  0.544; [   37.312,    47.264]; seg_len2 =  9.952; step_len2 =  0.928; start_diff = -0.384; step_diff = -0.384; score = 18.0862;  172
[   37.888,    47.328]; seg_len1 =  9.440; step_len1 =  0.960; [   38.816,    48.512]; seg_len2 =  9.696; step_len2 =  1.504; start_diff = -0.928; step_diff = -0.544; score = 20.5549;  163
[   38.880,    48.832]; seg_len1 =  9.952; step_len1 =  0.992; [   39.296,    48.512]; seg_len2 =  9.216; step_len2 =  0.480; start_diff = -0.416; step_diff =  0.512; score = 17.9004;  133
[   39.872,    49.536]; seg_len1 =  9.664; step_len1 =  0.992; [   40.288,    48.512]; seg_len2 =  8.224; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 13.2847;   91
