[   77.760,    82.720]; seg_len =  4.960; step_len =  1.184; score =  0.000;    0
[   78.560,    83.520]; seg_len =  4.960; step_len =  0.800; score =  0.000;    0
[   79.680,    84.640]; seg_len =  4.960; step_len =  1.120; score =  0.000;    0
[   80.800,    85.216]; seg_len =  4.416; step_len =  1.120; score =  0.000;    0
[   81.536,    86.016]; seg_len =  4.480; step_len =  0.736; score =  0.000;    0
[   82.560,    87.392]; seg_len =  4.832; step_len =  1.024; score =  0.000;    0
[   83.520,    87.968]; seg_len =  4.448; step_len =  0.960; score =  0.000;    0
[   84.512,    89.472]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[   85.856,    90.816]; seg_len =  4.960; step_len =  1.344; score =  0.000;    0
[   86.528,    91.360]; seg_len =  4.832; step_len =  0.672; score =  0.000;    0
[   87.552,    92.352]; seg_len =  4.800; step_len =  1.024; score =  0.000;    0
[   88.864,    93.696]; seg_len =  4.832; step_len =  1.312; score =  0.000;    0
[   89.472,    94.176]; seg_len =  4.704; step_len =  0.608; score =  0.000;    0
[   90.784,    95.744]; seg_len =  4.960; step_len =  1.312; score =  0.000;    0
[   91.520,    96.288]; seg_len =  4.768; step_len =  0.736; score =  0.000;    0
[   92.576,    96.896]; seg_len =  4.320; step_len =  1.056; score =  0.000;    0
[   93.440,    96.896]; seg_len =  3.456; step_len =  0.864; score =  0.000;    0
[   94.560,    99.072]; seg_len =  4.512; step_len =  1.120; score =  0.313;    1
[   95.424,   100.320]; seg_len =  4.896; step_len =  0.864; score =  0.313;    1
[   96.800,   101.632]; seg_len =  4.832; step_len =  1.376; score =  0.313;    1
[   98.720,   103.680]; seg_len =  4.960; step_len =  1.920; score =  0.313;    1
[   98.720,   103.680]; seg_len =  4.960; step_len =  0.000; score =  0.313;    1
[   99.680,   104.544]; seg_len =  4.864; step_len =  0.960; score =  0.313;    1
[  101.184,   105.632]; seg_len =  4.448; step_len =  1.504; score =  0.313;    1
[  101.440,   106.336]; seg_len =  4.896; step_len =  0.256; score =  0.313;    1
[  102.368,   107.296]; seg_len =  4.928; step_len =  0.928; score =  0.313;    1
[  103.456,   108.256]; seg_len =  4.800; step_len =  1.088; score =  0.313;    1
[  104.512,   109.472]; seg_len =  4.960; step_len =  1.056; score =  0.000;    0
[  105.344,   110.048]; seg_len =  4.704; step_len =  0.832; score =  0.000;    0
[  106.336,   111.136]; seg_len =  4.800; step_len =  0.992; score =  0.000;    0
[  107.616,   112.096]; seg_len =  4.480; step_len =  1.280; score =  0.000;    0
[  109.184,   114.144]; seg_len =  4.960; step_len =  1.568; score =  0.000;    0
[  109.312,   114.144]; seg_len =  4.832; step_len =  0.128; score =  0.000;    0
[  110.432,   115.232]; seg_len =  4.800; step_len =  1.120; score =  0.000;    0
[  111.904,   116.864]; seg_len =  4.960; step_len =  1.472; score =  0.000;    0
[  113.696,   118.624]; seg_len =  4.928; step_len =  1.792; score =  0.000;    0
[  113.696,   118.624]; seg_len =  4.928; step_len =  0.000; score =  0.000;    0
[  114.304,   119.264]; seg_len =  4.960; step_len =  0.608; score =  0.000;    0
[  115.680,   120.576]; seg_len =  4.896; step_len =  1.376; score =  0.000;    0
[  116.512,   121.312]; seg_len =  4.800; step_len =  0.832; score =  0.000;    0
[  117.312,   121.984]; seg_len =  4.672; step_len =  0.800; score =  0.000;    0
[  118.272,   122.784]; seg_len =  4.512; step_len =  0.960; score =  0.000;    0
[  119.232,   124.192]; seg_len =  4.960; step_len =  0.960; score =  0.000;    0
[  120.384,   124.832]; seg_len =  4.448; step_len =  1.152; score =  0.000;    0
[  121.216,   125.856]; seg_len =  4.640; step_len =  0.832; score =  0.000;    0
[  122.592,   126.944]; seg_len =  4.352; step_len =  1.376; score =  0.000;    0
[  123.264,   126.944]; seg_len =  3.680; step_len =  0.672; score =  0.000;    0
[  124.192,   129.152]; seg_len =  4.960; step_len =  0.928; score =  0.000;    0
[  125.408,   130.368]; seg_len =  4.960; step_len =  1.216; score =  0.000;    0
[  126.272,   131.232]; seg_len =  4.960; step_len =  0.864; score =  0.000;    0
[  128.704,   133.600]; seg_len =  4.896; step_len =  2.432; score =  0.000;    0
[  128.704,   133.600]; seg_len =  4.896; step_len =  0.000; score =  0.000;    0
[  129.152,   134.080]; seg_len =  4.928; step_len =  0.448; score =  0.000;    0
[  130.336,   135.296]; seg_len =  4.960; step_len =  1.184; score =  0.000;    0
[  131.200,   136.000]; seg_len =  4.800; step_len =  0.864; score =  0.000;    0
[  132.128,   137.024]; seg_len =  4.896; step_len =  0.928; score =  0.000;    0
[  133.120,   138.080]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  134.208,   139.168]; seg_len =  4.960; step_len =  1.088; score =  0.000;    0
[  135.168,   140.064]; seg_len =  4.896; step_len =  0.960; score =  0.000;    0
[  136.192,   141.056]; seg_len =  4.864; step_len =  1.024; score =  0.000;    0
[  137.152,   141.952]; seg_len =  4.800; step_len =  0.960; score =  0.000;    0
[  138.080,   142.496]; seg_len =  4.416; step_len =  0.928; score =  0.000;    0
[  139.104,   144.000]; seg_len =  4.896; step_len =  1.024; score =  0.000;    0
[  140.064,   144.800]; seg_len =  4.736; step_len =  0.960; score =  0.000;    0
[  141.056,   145.856]; seg_len =  4.800; step_len =  0.992; score =  0.000;    0
[  142.144,   146.720]; seg_len =  4.576; step_len =  1.088; score =  0.000;    0
[  143.744,   148.672]; seg_len =  4.928; step_len =  1.600; score =  0.000;    0
[  144.256,   149.184]; seg_len =  4.928; step_len =  0.512; score =  0.000;    0
[  145.184,   149.984]; seg_len =  4.800; step_len =  0.928; score =  0.000;    0
[  146.336,   151.232]; seg_len =  4.896; step_len =  1.152; score =  0.000;    0
[  147.264,   152.224]; seg_len =  4.960; step_len =  0.928; score =  0.313;    1
[  148.224,   152.992]; seg_len =  4.768; step_len =  0.960; score =  0.313;    1
[  148.992,   153.888]; seg_len =  4.896; step_len =  0.768; score =  0.627;    2
[  149.984,   154.560]; seg_len =  4.576; step_len =  0.992; score =  0.627;    2
[  151.072,   156.032]; seg_len =  4.960; step_len =  1.088; score =  0.627;    2
[  152.160,   157.056]; seg_len =  4.896; step_len =  1.088; score =  0.627;    2
[  152.960,   157.056]; seg_len =  4.096; step_len =  0.800; score =  0.313;    1
[  154.176,   159.104]; seg_len =  4.928; step_len =  1.216; score =  0.000;    0
[  155.200,   159.776]; seg_len =  4.576; step_len =  1.024; score =  0.000;    0
[  156.032,   160.640]; seg_len =  4.608; step_len =  0.832; score =  0.000;    0
[  156.928,   161.888]; seg_len =  4.960; step_len =  0.896; score =  0.000;    0
