[    0.192,     9.920]; seg_len =  9.728; step_len =  0.000; score =  0.142;    1
[    1.600,    11.552]; seg_len =  9.952; step_len =  1.408; score =  0.142;    1
[    2.176,    12.096]; seg_len =  9.920; step_len =  0.576; score =  0.142;    1
[    3.328,    13.248]; seg_len =  9.920; step_len =  1.152; score =  0.142;    1
[    4.160,    13.984]; seg_len =  9.824; step_len =  0.832; score =  0.142;    1
[    5.280,    15.168]; seg_len =  9.888; step_len =  1.120; score =  0.142;    1
[    6.144,    16.096]; seg_len =  9.952; step_len =  0.864; score =  0.142;    1
[    7.200,    16.832]; seg_len =  9.632; step_len =  1.056; score =  0.142;    1
[    8.448,    18.368]; seg_len =  9.920; step_len =  1.248; score =  0.142;    1
[    9.120,    19.040]; seg_len =  9.920; step_len =  0.672; score =  0.142;    1
[   10.272,    20.192]; seg_len =  9.920; step_len =  1.152; score =  0.142;    1
[   11.104,    21.056]; seg_len =  9.952; step_len =  0.832; score =  0.142;    1
[   12.096,    21.984]; seg_len =  9.888; step_len =  0.992; score =  0.142;    1
[   13.088,    23.040]; seg_len =  9.952; step_len =  0.992; score =  0.142;    1
[   14.144,    24.064]; seg_len =  9.920; step_len =  1.056; score =  0.142;    1
[   15.072,    25.024]; seg_len =  9.952; step_len =  0.928; score =  0.142;    1
[   16.064,    25.920]; seg_len =  9.856; step_len =  0.992; score =  0.142;    1
[   17.888,    27.840]; seg_len =  9.952; step_len =  1.824; score =  0.142;    1
[   18.048,    28.000]; seg_len =  9.952; step_len =  0.160; score =  0.142;    1
[   19.040,    28.864]; seg_len =  9.824; step_len =  0.992; score =  0.000;    0
[   20.032,    29.728]; seg_len =  9.696; step_len =  0.992; score =  0.000;    0
[   21.024,    30.976]; seg_len =  9.952; step_len =  0.992; score =  0.000;    0
[   22.080,    31.968]; seg_len =  9.888; step_len =  1.056; score =  0.000;    0
[   23.008,    32.800]; seg_len =  9.792; step_len =  0.928; score =  0.000;    0
[   24.000,    33.952]; seg_len =  9.952; step_len =  0.992; score =  0.142;    1
[   25.024,    34.976]; seg_len =  9.952; step_len =  1.024; score =  0.142;    1
[   26.048,    35.840]; seg_len =  9.792; step_len =  1.024; score =  0.142;    1
[   27.072,    37.024]; seg_len =  9.952; step_len =  1.024; score =  0.142;    1
[   27.968,    37.920]; seg_len =  9.952; step_len =  0.896; score =  0.142;    1
[   29.088,    39.008]; seg_len =  9.920; step_len =  1.120; score =  0.142;    1
[   30.240,    40.160]; seg_len =  9.920; step_len =  1.152; score =  0.142;    1
[   30.944,    40.896]; seg_len =  9.952; step_len =  0.704; score =  0.142;    1
[   31.936,    41.888]; seg_len =  9.952; step_len =  0.992; score =  0.142;    1
[   33.152,    43.104]; seg_len =  9.952; step_len =  1.216; score =  0.142;    1
[   33.952,    43.904]; seg_len =  9.952; step_len =  0.800; score =  0.142;    1
[   34.944,    44.896]; seg_len =  9.952; step_len =  0.992; score =  0.142;    1
[   36.384,    46.336]; seg_len =  9.952; step_len =  1.440; score =  0.142;    1
[   36.928,    46.368]; seg_len =  9.440; step_len =  0.544; score =  0.142;    1
[   37.888,    47.328]; seg_len =  9.440; step_len =  0.960; score =  0.000;    0
[   38.880,    48.832]; seg_len =  9.952; step_len =  0.992; score =  0.000;    0
[   39.872,    49.536]; seg_len =  9.664; step_len =  0.992; score =  0.000;    0
[   40.896,    50.816]; seg_len =  9.920; step_len =  1.024; score =  0.000;    0
[   41.856,    51.488]; seg_len =  9.632; step_len =  0.960; score =  0.000;    0
[   42.880,    51.488]; seg_len =  8.608; step_len =  1.024; score =  0.000;    0
[   43.840,    53.792]; seg_len =  9.952; step_len =  0.960; score =  0.000;    0
[   44.896,    54.720]; seg_len =  9.824; step_len =  1.056; score =  0.000;    0
[   45.888,    55.840]; seg_len =  9.952; step_len =  0.992; score =  0.000;    0
[   47.328,    57.152]; seg_len =  9.824; step_len =  1.440; score =  0.142;    1
[   48.768,    58.720]; seg_len =  9.952; step_len =  1.440; score =  0.142;    1
[   48.800,    58.752]; seg_len =  9.952; step_len =  0.032; score =  0.142;    1
[   49.920,    59.872]; seg_len =  9.952; step_len =  1.120; score =  0.142;    1
[   50.784,    60.672]; seg_len =  9.888; step_len =  0.864; score =  0.142;    1
[   53.728,    63.648]; seg_len =  9.920; step_len =  2.944; score =  0.142;    1
[   53.728,    63.648]; seg_len =  9.920; step_len =  0.000; score =  0.142;    1
[   53.760,    63.712]; seg_len =  9.952; step_len =  0.032; score =  0.142;    1
[   55.072,    64.928]; seg_len =  9.856; step_len =  1.312; score =  0.142;    1
[   55.776,    65.728]; seg_len =  9.952; step_len =  0.704; score =  0.142;    1
[   56.768,    66.656]; seg_len =  9.888; step_len =  0.992; score =  0.142;    1
[   57.760,    67.360]; seg_len =  9.600; step_len =  0.992; score =  0.142;    1
[   58.720,    67.360]; seg_len =  8.640; step_len =  0.960; score =  0.142;    1
[   59.712,    69.664]; seg_len =  9.952; step_len =  0.992; score =  0.142;    1
[   60.800,    70.752]; seg_len =  9.952; step_len =  1.088; score =  0.142;    1
[   61.696,    71.584]; seg_len =  9.888; step_len =  0.896; score =  0.142;    1
[   62.688,    72.544]; seg_len =  9.856; step_len =  0.992; score =  0.142;    1
[   63.712,    73.440]; seg_len =  9.728; step_len =  1.024; score =  0.142;    1
[   64.672,    74.304]; seg_len =  9.632; step_len =  0.960; score =  0.142;    1
[   65.664,    75.488]; seg_len =  9.824; step_len =  0.992; score =  0.142;    1
[   66.656,    76.576]; seg_len =  9.920; step_len =  0.992; score =  0.142;    1
[   68.704,    78.656]; seg_len =  9.952; step_len =  2.048; score =  0.284;    2
[   68.704,    78.656]; seg_len =  9.952; step_len =  0.000; score =  0.284;    2
[   69.632,    79.392]; seg_len =  9.760; step_len =  0.928; score =  0.284;    2
[   70.720,    80.352]; seg_len =  9.632; step_len =  1.088; score =  0.284;    2
[   71.840,    81.728]; seg_len =  9.888; step_len =  1.120; score =  0.284;    2
[   72.704,    82.592]; seg_len =  9.888; step_len =  0.864; score =  0.284;    2
[   73.696,    83.584]; seg_len =  9.888; step_len =  0.992; score =  0.284;    2
[   74.752,    84.704]; seg_len =  9.952; step_len =  1.056; score =  0.284;    2
[   75.872,    85.216]; seg_len =  9.344; step_len =  1.120; score =  0.284;    2
[   76.576,    86.528]; seg_len =  9.952; step_len =  0.704; score =  0.284;    2
[   77.760,    87.584]; seg_len =  9.824; step_len =  1.184; score =  0.000;    0
[   78.560,    87.968]; seg_len =  9.408; step_len =  0.800; score =  0.000;    0
[   79.680,    89.632]; seg_len =  9.952; step_len =  1.120; score =  0.000;    0
[   80.800,    90.304]; seg_len =  9.504; step_len =  1.120; score =  0.000;    0
[   81.536,    91.360]; seg_len =  9.824; step_len =  0.736; score =  0.000;    0
[   82.560,    92.352]; seg_len =  9.792; step_len =  1.024; score =  0.000;    0
[   83.520,    93.472]; seg_len =  9.952; step_len =  0.960; score =  0.000;    0
[   84.512,    94.176]; seg_len =  9.664; step_len =  0.992; score =  0.000;    0
[   85.856,    95.776]; seg_len =  9.920; step_len =  1.344; score =  0.000;    0
[   86.528,    96.288]; seg_len =  9.760; step_len =  0.672; score =  0.000;    0
[   87.552,    96.896]; seg_len =  9.344; step_len =  1.024; score =  0.000;    0
[   88.864,    98.816]; seg_len =  9.952; step_len =  1.312; score =  0.000;    0
[   89.472,    99.072]; seg_len =  9.600; step_len =  0.608; score =  0.142;    1
[   90.784,   100.320]; seg_len =  9.536; step_len =  1.312; score =  0.142;    1
[   91.520,   101.472]; seg_len =  9.952; step_len =  0.736; score =  0.142;    1
[   92.576,   102.400]; seg_len =  9.824; step_len =  1.056; score =  0.142;    1
[   93.440,   102.976]; seg_len =  9.536; step_len =  0.864; score =  0.142;    1
[   94.560,   104.512]; seg_len =  9.952; step_len =  1.120; score =  0.142;    1
[   95.424,   105.376]; seg_len =  9.952; step_len =  0.864; score =  0.142;    1
[   96.800,   106.720]; seg_len =  9.920; step_len =  1.376; score =  0.142;    1
[   98.720,   108.256]; seg_len =  9.536; step_len =  1.920; score =  0.142;    1
[   98.720,   108.256]; seg_len =  9.536; step_len =  0.000; score =  0.142;    1
[   99.680,   109.568]; seg_len =  9.888; step_len =  0.960; score =  0.142;    1
[  101.184,   111.136]; seg_len =  9.952; step_len =  1.504; score =  0.142;    1
[  101.440,   111.136]; seg_len =  9.696; step_len =  0.256; score =  0.142;    1
[  102.368,   112.096]; seg_len =  9.728; step_len =  0.928; score =  0.142;    1
[  103.456,   112.096]; seg_len =  8.640; step_len =  1.088; score =  0.142;    1
[  104.512,   114.464]; seg_len =  9.952; step_len =  1.056; score =  0.000;    0
[  105.344,   115.232]; seg_len =  9.888; step_len =  0.832; score =  0.000;    0
[  106.336,   115.936]; seg_len =  9.600; step_len =  0.992; score =  0.000;    0
[  107.616,   117.472]; seg_len =  9.856; step_len =  1.280; score =  0.000;    0
[  109.184,   119.104]; seg_len =  9.920; step_len =  1.568; score =  0.000;    0
[  109.312,   119.264]; seg_len =  9.952; step_len =  0.128; score =  0.000;    0
[  110.432,   120.384]; seg_len =  9.952; step_len =  1.120; score =  0.000;    0
[  111.904,   121.856]; seg_len =  9.952; step_len =  1.472; score =  0.000;    0
[  113.696,   123.648]; seg_len =  9.952; step_len =  1.792; score =  0.000;    0
[  113.696,   123.648]; seg_len =  9.952; step_len =  0.000; score =  0.000;    0
[  114.304,   124.256]; seg_len =  9.952; step_len =  0.608; score =  0.000;    0
[  115.680,   125.632]; seg_len =  9.952; step_len =  1.376; score =  0.000;    0
[  116.512,   126.400]; seg_len =  9.888; step_len =  0.832; score =  0.000;    0
[  117.312,   126.944]; seg_len =  9.632; step_len =  0.800; score =  0.000;    0
[  118.272,   126.944]; seg_len =  8.672; step_len =  0.960; score =  0.000;    0
[  119.232,   129.184]; seg_len =  9.952; step_len =  0.960; score =  0.000;    0
[  120.384,   130.336]; seg_len =  9.952; step_len =  1.152; score =  0.000;    0
[  121.216,   131.072]; seg_len =  9.856; step_len =  0.832; score =  0.000;    0
[  122.592,   132.544]; seg_len =  9.952; step_len =  1.376; score =  0.000;    0
[  123.264,   133.216]; seg_len =  9.952; step_len =  0.672; score =  0.142;    1
[  124.192,   134.080]; seg_len =  9.888; step_len =  0.928; score =  0.142;    1
[  125.408,   135.296]; seg_len =  9.888; step_len =  1.216; score =  0.142;    1
[  126.272,   136.192]; seg_len =  9.920; step_len =  0.864; score =  0.142;    1
[  128.704,   138.656]; seg_len =  9.952; step_len =  2.432; score =  0.142;    1
[  128.704,   138.656]; seg_len =  9.952; step_len =  0.000; score =  0.142;    1
[  129.152,   139.104]; seg_len =  9.952; step_len =  0.448; score =  0.142;    1
[  130.336,   140.288]; seg_len =  9.952; step_len =  1.184; score =  0.142;    1
[  131.200,   141.056]; seg_len =  9.856; step_len =  0.864; score =  0.142;    1
[  132.128,   141.952]; seg_len =  9.824; step_len =  0.928; score =  0.142;    1
[  133.120,   142.496]; seg_len =  9.376; step_len =  0.992; score =  0.142;    1
[  134.208,   144.000]; seg_len =  9.792; step_len =  1.088; score =  0.000;    0
[  135.168,   144.800]; seg_len =  9.632; step_len =  0.960; score =  0.000;    0
[  136.192,   145.856]; seg_len =  9.664; step_len =  1.024; score =  0.000;    0
[  137.152,   146.720]; seg_len =  9.568; step_len =  0.960; score =  0.000;    0
[  138.080,   147.648]; seg_len =  9.568; step_len =  0.928; score =  0.000;    0
[  139.104,   149.056]; seg_len =  9.952; step_len =  1.024; score =  0.000;    0
[  140.064,   149.984]; seg_len =  9.920; step_len =  0.960; score =  0.284;    2
[  141.056,   150.816]; seg_len =  9.760; step_len =  0.992; score =  0.284;    2
[  142.144,   151.936]; seg_len =  9.792; step_len =  1.088; score =  0.284;    2
[  143.744,   153.696]; seg_len =  9.952; step_len =  1.600; score =  0.284;    2
[  144.256,   154.208]; seg_len =  9.952; step_len =  0.512; score =  0.284;    2
[  145.184,   154.560]; seg_len =  9.376; step_len =  0.928; score =  0.284;    2
[  146.336,   156.128]; seg_len =  9.792; step_len =  1.152; score =  0.284;    2
[  147.264,   157.056]; seg_len =  9.792; step_len =  0.928; score =  0.284;    2
[  148.224,   157.056]; seg_len =  8.832; step_len =  0.960; score =  0.284;    2
[  148.992,   158.944]; seg_len =  9.952; step_len =  0.768; score =  0.284;    2
[  149.984,   159.776]; seg_len =  9.792; step_len =  0.992; score =  0.284;    2
[  151.072,   160.640]; seg_len =  9.568; step_len =  1.088; score =  0.284;    2
[  152.160,   161.984]; seg_len =  9.824; step_len =  1.088; score =  0.284;    2
[  152.960,   162.880]; seg_len =  9.920; step_len =  0.800; score =  0.142;    1
[  154.176,   164.128]; seg_len =  9.952; step_len =  1.216; score =  0.284;    2
[  155.200,   164.640]; seg_len =  9.440; step_len =  1.024; score =  0.284;    2
[  156.032,   165.984]; seg_len =  9.952; step_len =  0.832; score =  0.284;    2
[  156.928,   166.848]; seg_len =  9.920; step_len =  0.896; score =  0.284;    2
[  158.656,   168.608]; seg_len =  9.952; step_len =  1.728; score =  0.284;    2
[  158.944,   168.704]; seg_len =  9.760; step_len =  0.288; score =  0.284;    2
[  160.288,   170.016]; seg_len =  9.728; step_len =  1.344; score =  0.284;    2
[  161.696,   171.648]; seg_len =  9.952; step_len =  1.408; score =  0.284;    2
[  161.888,   171.840]; seg_len =  9.952; step_len =  0.192; score =  0.284;    2
[  162.880,   172.064]; seg_len =  9.184; step_len =  0.992; score =  0.284;    2
[  163.872,   173.792]; seg_len =  9.920; step_len =  0.992; score =  0.284;    2
[  165.216,   174.752]; seg_len =  9.536; step_len =  1.344; score =  0.142;    1
[  165.856,   175.616]; seg_len =  9.760; step_len =  0.640; score =  0.142;    1
[  166.848,   176.768]; seg_len =  9.920; step_len =  0.992; score =  0.142;    1
[  167.840,   177.696]; seg_len =  9.856; step_len =  0.992; score =  0.142;    1
[  168.960,   178.912]; seg_len =  9.952; step_len =  1.120; score =  0.142;    1
[  169.984,   179.712]; seg_len =  9.728; step_len =  1.024; score =  0.284;    2
[  170.816,   180.704]; seg_len =  9.888; step_len =  0.832; score =  0.284;    2
[  171.808,   181.312]; seg_len =  9.504; step_len =  0.992; score =  0.284;    2
[  173.696,   183.648]; seg_len =  9.952; step_len =  1.888; score =  0.284;    2
[  173.792,   183.648]; seg_len =  9.856; step_len =  0.096; score =  0.284;    2
[  175.424,   185.376]; seg_len =  9.952; step_len =  1.632; score =  0.284;    2
[  176.192,   186.048]; seg_len =  9.856; step_len =  0.768; score =  0.284;    2
[  176.768,   186.720]; seg_len =  9.952; step_len =  0.576; score =  0.284;    2
[  177.824,   187.392]; seg_len =  9.568; step_len =  1.056; score =  0.284;    2
[  178.784,   188.736]; seg_len =  9.952; step_len =  0.960; score =  0.284;    2
[  180.160,   189.344]; seg_len =  9.184; step_len =  1.376; score =  0.142;    1
[  180.800,   190.752]; seg_len =  9.952; step_len =  0.640; score =  0.142;    1
[  182.240,   192.192]; seg_len =  9.952; step_len =  1.440; score =  0.142;    1
[  182.720,   192.448]; seg_len =  9.728; step_len =  0.480; score =  0.142;    1
[  183.840,   193.760]; seg_len =  9.920; step_len =  1.120; score =  0.142;    1
[  185.056,   194.880]; seg_len =  9.824; step_len =  1.216; score =  0.142;    1
[  185.696,   195.616]; seg_len =  9.920; step_len =  0.640; score =  0.000;    0
[  186.720,   196.640]; seg_len =  9.920; step_len =  1.024; score =  0.000;    0
[  188.736,   198.560]; seg_len =  9.824; step_len =  2.016; score =  0.000;    0
[  188.736,   198.560]; seg_len =  9.824; step_len =  0.000; score =  0.000;    0
[  190.176,   200.128]; seg_len =  9.952; step_len =  1.440; score =  0.000;    0
[  190.720,   200.576]; seg_len =  9.856; step_len =  0.544; score =  0.000;    0
[  191.680,   201.568]; seg_len =  9.888; step_len =  0.960; score =  0.142;    1
[  192.736,   202.464]; seg_len =  9.728; step_len =  1.056; score =  0.142;    1
[  193.728,   202.464]; seg_len =  8.736; step_len =  0.992; score =  0.142;    1
[  194.656,   204.064]; seg_len =  9.408; step_len =  0.928; score =  0.142;    1
[  195.616,   205.536]; seg_len =  9.920; step_len =  0.960; score =  0.142;    1
[  196.640,   206.400]; seg_len =  9.760; step_len =  1.024; score =  0.142;    1
[  197.856,   207.424]; seg_len =  9.568; step_len =  1.216; score =  0.142;    1
[  198.720,   208.672]; seg_len =  9.952; step_len =  0.864; score =  0.142;    1
[  199.680,   209.568]; seg_len =  9.888; step_len =  0.960; score =  0.142;    1
[  200.576,   210.400]; seg_len =  9.824; step_len =  0.896; score =  0.142;    1
[  201.568,   211.520]; seg_len =  9.952; step_len =  0.992; score =  0.142;    1
[  203.744,   213.696]; seg_len =  9.952; step_len =  2.176; score =  0.142;    1
[  203.744,   213.696]; seg_len =  9.952; step_len =  0.000; score =  0.142;    1
[  204.672,   214.496]; seg_len =  9.824; step_len =  0.928; score =  0.000;    0
[  205.536,   215.392]; seg_len =  9.856; step_len =  0.864; score =  0.000;    0
[  206.752,   216.288]; seg_len =  9.536; step_len =  1.216; score =  0.000;    0
[  207.840,   217.664]; seg_len =  9.824; step_len =  1.088; score =  0.000;    0
[  208.512,   218.464]; seg_len =  9.952; step_len =  0.672; score =  0.000;    0
[  209.536,   219.488]; seg_len =  9.952; step_len =  1.024; score =  0.000;    0
