[    0.192,    29.728]; seg_len1 = 29.536; step_len1 =  0.000; [    0.608,    30.528]; seg_len2 = 29.920; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.000; score = 36.0537; 1396
[    1.600,    31.552]; seg_len1 = 29.952; step_len1 =  1.408; [    1.984,    31.872]; seg_len2 = 29.888; step_len2 =  1.376; start_diff = -0.384; step_diff =  0.032; score = 36.1055; 1437
[    2.176,    32.128]; seg_len1 = 29.952; step_len1 =  0.576; [    2.592,    32.416]; seg_len2 = 29.824; step_len2 =  0.608; start_diff = -0.416; step_diff = -0.032; score = 35.8247; 1414
[    3.328,    33.248]; seg_len1 = 29.920; step_len1 =  1.152; [    3.584,    33.280]; seg_len2 = 29.696; step_len2 =  0.992; start_diff = -0.256; step_diff =  0.160; score = 35.2863; 1331
[    4.160,    34.112]; seg_len1 = 29.952; step_len1 =  0.832; [    4.640,    34.592]; seg_len2 = 29.952; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.224; score = 35.7748; 1309
[    5.280,    35.232]; seg_len1 = 29.952; step_len1 =  1.120; [    5.792,    35.712]; seg_len2 = 29.920; step_len2 =  1.152; start_diff = -0.512; step_diff = -0.032; score = 35.0478; 1247
[    6.144,    35.840]; seg_len1 = 29.696; step_len1 =  0.864; [    6.624,    36.576]; seg_len2 = 29.952; step_len2 =  0.832; start_diff = -0.480; step_diff =  0.032; score = 34.7206; 1218
[    7.200,    37.024]; seg_len1 = 29.824; step_len1 =  1.056; [    7.744,    37.696]; seg_len2 = 29.952; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.064; score = 33.6002; 1175
[    8.448,    38.304]; seg_len1 = 29.856; step_len1 =  1.248; [    8.736,    38.144]; seg_len2 = 29.408; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.256; score = 34.6445; 1189
[    9.120,    39.072]; seg_len1 = 29.952; step_len1 =  0.672; [    9.664,    39.424]; seg_len2 = 29.760; step_len2 =  0.928; start_diff = -0.544; step_diff = -0.256; score = 33.7818; 1130
[   10.272,    40.160]; seg_len1 = 29.888; step_len1 =  1.152; [   10.912,    40.864]; seg_len2 = 29.952; step_len2 =  1.248; start_diff = -0.640; step_diff = -0.096; score = 32.7719; 1109
[   11.104,    40.992]; seg_len1 = 29.888; step_len1 =  0.832; [   11.520,    41.472]; seg_len2 = 29.952; step_len2 =  0.608; start_diff = -0.416; step_diff =  0.224; score = 31.2291; 1029
[   12.096,    41.888]; seg_len1 = 29.792; step_len1 =  0.992; [   12.608,    42.560]; seg_len2 = 29.952; step_len2 =  1.088; start_diff = -0.512; step_diff = -0.096; score = 31.2076; 1013
[   13.088,    43.040]; seg_len1 = 29.952; step_len1 =  0.992; [   13.568,    43.456]; seg_len2 = 29.888; step_len2 =  0.960; start_diff = -0.480; step_diff =  0.032; score = 31.8813;  988
[   14.144,    44.096]; seg_len1 = 29.952; step_len1 =  1.056; [   14.560,    44.320]; seg_len2 = 29.760; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.064; score = 31.9177;  962
[   15.072,    44.896]; seg_len1 = 29.824; step_len1 =  0.928; [   15.552,    45.504]; seg_len2 = 29.952; step_len2 =  0.992; start_diff = -0.480; step_diff = -0.064; score = 28.9967;  867
[   16.064,    45.888]; seg_len1 = 29.824; step_len1 =  0.992; [   16.608,    46.560]; seg_len2 = 29.952; step_len2 =  1.056; start_diff = -0.544; step_diff = -0.064; score = 29.4694;  872
[   17.888,    47.328]; seg_len1 = 29.440; step_len1 =  1.824; [   17.536,    47.392]; seg_len2 = 29.856; step_len2 =  0.928; start_diff =  0.352; step_diff =  0.896; score = 30.2503;  834
[   18.048,    47.328]; seg_len1 = 29.280; step_len1 =  0.160; [   18.464,    48.000]; seg_len2 = 29.536; step_len2 =  0.928; start_diff = -0.416; step_diff = -0.768; score = 30.9959;  831
[   19.040,    48.960]; seg_len1 = 29.920; step_len1 =  0.992; [   19.520,    48.512]; seg_len2 = 28.992; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.064; score = 32.4495;  820
[   20.032,    49.984]; seg_len1 = 29.952; step_len1 =  0.992; [   20.448,    48.512]; seg_len2 = 28.064; step_len2 =  0.928; start_diff = -0.416; step_diff =  0.064; score = 31.8776;  781
[   21.024,    50.976]; seg_len1 = 29.952; step_len1 =  0.992; [   21.440,    51.392]; seg_len2 = 29.952; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 30.2703;  728
[   22.080,    51.488]; seg_len1 = 29.408; step_len1 =  1.056; [   22.464,    52.416]; seg_len2 = 29.952; step_len2 =  1.024; start_diff = -0.384; step_diff =  0.032; score = 30.7137;  723
[   23.008,    51.488]; seg_len1 = 28.480; step_len1 =  0.928; [   23.488,    53.440]; seg_len2 = 29.952; step_len2 =  1.024; start_diff = -0.480; step_diff = -0.096; score = 31.0160;  754
[   24.000,    53.952]; seg_len1 = 29.952; step_len1 =  0.992; [   24.416,    53.920]; seg_len2 = 29.504; step_len2 =  0.928; start_diff = -0.416; step_diff =  0.064; score = 29.2811;  725
[   25.024,    54.720]; seg_len1 = 29.696; step_len1 =  1.024; [   25.664,    54.560]; seg_len2 = 28.896; step_len2 =  1.248; start_diff = -0.640; step_diff = -0.224; score = 28.5834;  680
[   26.048,    55.936]; seg_len1 = 29.888; step_len1 =  1.024; [   26.432,    56.384]; seg_len2 = 29.952; step_len2 =  0.768; start_diff = -0.384; step_diff =  0.256; score = 26.3806;  621
[   27.072,    56.992]; seg_len1 = 29.920; step_len1 =  1.024; [   27.488,    57.344]; seg_len2 = 29.856; step_len2 =  1.056; start_diff = -0.416; step_diff = -0.032; score = 24.1955;  594
[   27.968,    57.856]; seg_len1 = 29.888; step_len1 =  0.896; [   28.384,    58.336]; seg_len2 = 29.952; step_len2 =  0.896; start_diff = -0.416; step_diff =  0.000; score = 22.5756;  582
[   29.088,    58.848]; seg_len1 = 29.760; step_len1 =  1.120; [   29.408,    59.328]; seg_len2 = 29.920; step_len2 =  1.024; start_diff = -0.320; step_diff =  0.096; score = 22.7150;  589
[   30.240,    60.192]; seg_len1 = 29.952; step_len1 =  1.152; [   30.368,    60.160]; seg_len2 = 29.792; step_len2 =  0.960; start_diff = -0.128; step_diff =  0.192; score = 22.5684;  594
[   30.944,    60.896]; seg_len1 = 29.952; step_len1 =  0.704; [   31.424,    61.280]; seg_len2 = 29.856; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.352; score = 24.2754;  670
[   31.936,    61.856]; seg_len1 = 29.920; step_len1 =  0.992; [   32.416,    62.368]; seg_len2 = 29.952; step_len2 =  0.992; start_diff = -0.480; step_diff =  0.000; score = 24.3790;  687
[   33.152,    62.976]; seg_len1 = 29.824; step_len1 =  1.216; [   33.984,    63.936]; seg_len2 = 29.952; step_len2 =  1.568; start_diff = -0.832; step_diff = -0.352; score = 24.6050;  763
[   33.952,    63.904]; seg_len1 = 29.952; step_len1 =  0.800; [   34.400,    64.320]; seg_len2 = 29.920; step_len2 =  0.416; start_diff = -0.448; step_diff =  0.384; score = 25.8757;  820
[   34.944,    64.864]; seg_len1 = 29.920; step_len1 =  0.992; [   35.328,    65.280]; seg_len2 = 29.952; step_len2 =  0.928; start_diff = -0.384; step_diff =  0.064; score = 26.7610;  851
[   36.384,    66.336]; seg_len1 = 29.952; step_len1 =  1.440; [   36.384,    66.336]; seg_len2 = 29.952; step_len2 =  1.056; start_diff =  0.000; step_diff =  0.384; score = 25.7080;  817
[   36.928,    66.656]; seg_len1 = 29.728; step_len1 =  0.544; [   37.312,    67.264]; seg_len2 = 29.952; step_len2 =  0.928; start_diff = -0.384; step_diff = -0.384; score = 24.8067;  802
[   37.888,    67.360]; seg_len1 = 29.472; step_len1 =  0.960; [   38.816,    68.608]; seg_len2 = 29.792; step_len2 =  1.504; start_diff = -0.928; step_diff = -0.544; score = 24.8109;  820
[   38.880,    68.832]; seg_len1 = 29.952; step_len1 =  0.992; [   39.296,    69.056]; seg_len2 = 29.760; step_len2 =  0.480; start_diff = -0.416; step_diff =  0.512; score = 24.3169;  801
[   39.872,    69.792]; seg_len1 = 29.920; step_len1 =  0.992; [   40.288,    69.920]; seg_len2 = 29.632; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 23.8774;  787
[   40.896,    70.848]; seg_len1 = 29.952; step_len1 =  1.024; [   41.312,    71.264]; seg_len2 = 29.952; step_len2 =  1.024; start_diff = -0.416; step_diff =  0.000; score = 24.2857;  782
[   41.856,    71.584]; seg_len1 = 29.728; step_len1 =  0.960; [   42.560,    72.480]; seg_len2 = 29.920; step_len2 =  1.248; start_diff = -0.704; step_diff = -0.288; score = 24.7098;  809
[   42.880,    72.832]; seg_len1 = 29.952; step_len1 =  1.024; [   43.328,    73.216]; seg_len2 = 29.888; step_len2 =  0.768; start_diff = -0.448; step_diff =  0.256; score = 25.5313;  841
[   43.840,    73.792]; seg_len1 = 29.952; step_len1 =  0.960; [   44.256,    74.176]; seg_len2 = 29.920; step_len2 =  0.928; start_diff = -0.416; step_diff =  0.032; score = 26.0237;  877
[   44.896,    74.848]; seg_len1 = 29.952; step_len1 =  1.056; [   45.344,    75.296]; seg_len2 = 29.952; step_len2 =  1.088; start_diff = -0.448; step_diff = -0.032; score = 26.9819;  953
[   45.888,    75.488]; seg_len1 = 29.600; step_len1 =  0.992; [   46.272,    76.224]; seg_len2 = 29.952; step_len2 =  0.928; start_diff = -0.384; step_diff =  0.064; score = 28.3301; 1023
[   47.328,    77.152]; seg_len1 = 29.824; step_len1 =  1.440; [   47.232,    76.832]; seg_len2 = 29.600; step_len2 =  0.960; start_diff =  0.096; step_diff =  0.480; score = 29.3001; 1080
[   48.768,    78.656]; seg_len1 = 29.888; step_len1 =  1.440; [   48.480,    78.432]; seg_len2 = 29.952; step_len2 =  1.248; start_diff =  0.288; step_diff =  0.192; score = 30.0989; 1157
[   48.800,    78.656]; seg_len1 = 29.856; step_len1 =  0.032; [   51.232,    81.120]; seg_len2 = 29.888; step_len2 =  2.752; start_diff = -2.432; step_diff = -2.720; score = 31.1530; 1305
[   49.920,    79.808]; seg_len1 = 29.888; step_len1 =  1.120; [   51.232,    81.120]; seg_len2 = 29.888; step_len2 =  0.000; start_diff = -1.312; step_diff =  1.120; score = 30.6040; 1282
[   50.784,    80.352]; seg_len1 = 29.568; step_len1 =  0.864; [   51.232,    81.120]; seg_len2 = 29.888; step_len2 =  0.000; start_diff = -0.448; step_diff =  0.864; score = 29.8639; 1251
[   53.728,    83.584]; seg_len1 = 29.856; step_len1 =  2.944; [   52.384,    82.272]; seg_len2 = 29.888; step_len2 =  1.152; start_diff =  1.344; step_diff =  1.792; score = 28.4346; 1217
[   53.728,    83.584]; seg_len1 = 29.856; step_len1 =  0.000; [   53.184,    82.816]; seg_len2 = 29.632; step_len2 =  0.800; start_diff =  0.544; step_diff = -0.800; score = 28.6343; 1237
[   53.760,    83.712]; seg_len1 = 29.952; step_len1 =  0.032; [   54.560,    84.512]; seg_len2 = 29.952; step_len2 =  1.376; start_diff = -0.800; step_diff = -1.344; score = 31.3013; 1335
[   55.072,    84.960]; seg_len1 = 29.888; step_len1 =  1.312; [   56.192,    86.016]; seg_len2 = 29.824; step_len2 =  1.632; start_diff = -1.120; step_diff = -0.320; score = 30.6699; 1378
[   55.776,    85.216]; seg_len1 = 29.440; step_len1 =  0.704; [   56.192,    86.016]; seg_len2 = 29.824; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.704; score = 30.5141; 1371
[   56.768,    86.720]; seg_len1 = 29.952; step_len1 =  0.992; [   57.184,    87.136]; seg_len2 = 29.952; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 31.4182; 1389
[   57.760,    87.584]; seg_len1 = 29.824; step_len1 =  0.992; [   58.240,    87.808]; seg_len2 = 29.568; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.064; score = 31.9499; 1378
[   58.720,    87.968]; seg_len1 = 29.248; step_len1 =  0.960; [   59.264,    89.216]; seg_len2 = 29.952; step_len2 =  1.024; start_diff = -0.544; step_diff = -0.064; score = 32.0231; 1385
[   59.712,    89.632]; seg_len1 = 29.920; step_len1 =  0.992; [   60.128,    90.016]; seg_len2 = 29.888; step_len2 =  0.864; start_diff = -0.416; step_diff =  0.128; score = 32.1788; 1375
[   60.800,    90.304]; seg_len1 = 29.504; step_len1 =  1.088; [   61.152,    90.464]; seg_len2 = 29.312; step_len2 =  1.024; start_diff = -0.352; step_diff =  0.064; score = 32.6740; 1338
[   61.696,    91.648]; seg_len1 = 29.952; step_len1 =  0.896; [   62.112,    92.064]; seg_len2 = 29.952; step_len2 =  0.960; start_diff = -0.416; step_diff = -0.064; score = 32.5068; 1324
[   62.688,    92.576]; seg_len1 = 29.888; step_len1 =  0.992; [   63.264,    92.736]; seg_len2 = 29.472; step_len2 =  1.152; start_diff = -0.576; step_diff = -0.160; score = 32.0516; 1267
[   63.712,    93.664]; seg_len1 = 29.952; step_len1 =  1.024; [   64.128,    94.080]; seg_len2 = 29.952; step_len2 =  0.864; start_diff = -0.416; step_diff =  0.160; score = 33.1943; 1273
[   64.672,    94.592]; seg_len1 = 29.920; step_len1 =  0.960; [   65.088,    94.784]; seg_len2 = 29.696; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.000; score = 34.3867; 1284
[   65.664,    95.616]; seg_len1 = 29.952; step_len1 =  0.992; [   66.208,    96.160]; seg_len2 = 29.952; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.128; score = 34.4531; 1323
[   66.656,    96.288]; seg_len1 = 29.632; step_len1 =  0.992; [   67.168,    97.120]; seg_len2 = 29.952; step_len2 =  0.960; start_diff = -0.512; step_diff =  0.032; score = 35.5133; 1325
[   68.704,    96.896]; seg_len1 = 28.192; step_len1 =  2.048; [   68.064,    97.920]; seg_len2 = 29.856; step_len2 =  0.896; start_diff =  0.640; step_diff =  1.152; score = 36.7285; 1327
[   68.704,    96.896]; seg_len1 = 28.192; step_len1 =  0.000; [   69.056,    98.752]; seg_len2 = 29.696; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.992; score = 38.3133; 1372
[   69.632,    99.072]; seg_len1 = 29.440; step_len1 =  0.928; [   70.816,    99.968]; seg_len2 = 29.152; step_len2 =  1.760; start_diff = -1.184; step_diff = -0.832; score = 37.0299; 1339
[   70.720,   100.320]; seg_len1 = 29.600; step_len1 =  1.088; [   71.200,   101.152]; seg_len2 = 29.952; step_len2 =  0.384; start_diff = -0.480; step_diff =  0.704; score = 36.7131; 1318
[   71.840,   101.632]; seg_len1 = 29.792; step_len1 =  1.120; [   72.032,   101.760]; seg_len2 = 29.728; step_len2 =  0.832; start_diff = -0.192; step_diff =  0.288; score = 35.3402; 1262
