[   30.944,    35.840]; seg_len1 =  4.896; step_len1 =  0.704; [   31.424,    36.384]; seg_len2 =  4.960; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.352; score = 20.9877;   68
[   31.936,    36.864]; seg_len1 =  4.928; step_len1 =  0.992; [   32.416,    37.376]; seg_len2 =  4.960; step_len2 =  0.992; start_diff = -0.480; step_diff =  0.000; score = 14.6835;   58
[   33.152,    38.112]; seg_len1 =  4.960; step_len1 =  1.216; [   33.984,    38.848]; seg_len2 =  4.864; step_len2 =  1.568; start_diff = -0.832; step_diff = -0.352; score = 13.4191;   73
[   33.952,    38.880]; seg_len1 =  4.928; step_len1 =  0.800; [   34.400,    39.360]; seg_len2 =  4.960; step_len2 =  0.416; start_diff = -0.448; step_diff =  0.384; score = 15.5357;   87
[   34.944,    39.904]; seg_len1 =  4.960; step_len1 =  0.992; [   35.328,    40.288]; seg_len2 =  4.960; step_len2 =  0.928; start_diff = -0.384; step_diff =  0.064; score = 17.4950;   88
[   36.384,    41.344]; seg_len1 =  4.960; step_len1 =  1.440; [   36.384,    41.344]; seg_len2 =  4.960; step_len2 =  1.056; start_diff =  0.000; step_diff =  0.384; score = 12.2124;   69
[   36.928,    41.888]; seg_len1 =  4.960; step_len1 =  0.544; [   37.312,    42.240]; seg_len2 =  4.928; step_len2 =  0.928; start_diff = -0.384; step_diff = -0.384; score = 15.0000;   90
[   37.888,    42.624]; seg_len1 =  4.736; step_len1 =  0.960; [   38.816,    43.744]; seg_len2 =  4.928; step_len2 =  1.504; start_diff = -0.928; step_diff = -0.544; score = 16.4486;   88
[   38.880,    43.840]; seg_len1 =  4.960; step_len1 =  0.992; [   39.296,    44.256]; seg_len2 =  4.960; step_len2 =  0.480; start_diff = -0.416; step_diff =  0.512; score = 14.1732;   72
[   39.872,    44.096]; seg_len1 =  4.224; step_len1 =  0.992; [   40.288,    45.056]; seg_len2 =  4.768; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score =  7.2464;   35
[   40.896,    45.792]; seg_len1 =  4.896; step_len1 =  1.024; [   41.312,    46.272]; seg_len2 =  4.960; step_len2 =  1.024; start_diff = -0.416; step_diff =  0.000; score = 14.1280;   64
[   41.856,    46.368]; seg_len1 =  4.512; step_len1 =  0.960; [   42.560,    47.392]; seg_len2 =  4.832; step_len2 =  1.248; start_diff = -0.704; step_diff = -0.288; score = 14.5251;   52
[   42.880,    47.328]; seg_len1 =  4.448; step_len1 =  1.024; [   43.328,    48.000]; seg_len2 =  4.672; step_len2 =  0.768; start_diff = -0.448; step_diff =  0.256; score = 17.3375;   56
[   43.840,    48.800]; seg_len1 =  4.960; step_len1 =  0.960; [   44.256,    48.512]; seg_len2 =  4.256; step_len2 =  0.928; start_diff = -0.416; step_diff =  0.032; score = 10.0418;   24
[   44.896,    49.536]; seg_len1 =  4.640; step_len1 =  1.056; [   45.344,    48.512]; seg_len2 =  3.168; step_len2 =  1.088; start_diff = -0.448; step_diff = -0.032; score =  4.4554;    9
[   45.888,    50.816]; seg_len1 =  4.928; step_len1 =  0.992; [   46.272,    51.232]; seg_len2 =  4.960; step_len2 =  0.928; start_diff = -0.384; step_diff =  0.064; score =  2.5862;    3
[   47.328,    51.488]; seg_len1 =  4.160; step_len1 =  1.440; [   47.232,    52.000]; seg_len2 =  4.768; step_len2 =  0.960; start_diff =  0.096; step_diff =  0.480; score = 40.3226;   25
[   48.768,    53.728]; seg_len1 =  4.960; step_len1 =  1.440; [   48.480,    53.440]; seg_len2 =  4.960; step_len2 =  1.248; start_diff =  0.288; step_diff =  0.192; score = 30.1115;   81
[   48.800,    53.760]; seg_len1 =  4.960; step_len1 =  0.032; [   51.232,    56.192]; seg_len2 =  4.960; step_len2 =  2.752; start_diff = -2.432; step_diff = -2.720; score = 29.2225;  109
[   49.920,    54.720]; seg_len1 =  4.800; step_len1 =  1.120; [   51.232,    56.192]; seg_len2 =  4.960; step_len2 =  0.000; start_diff = -1.312; step_diff =  1.120; score = 23.0563;   86
[   50.784,    55.552]; seg_len1 =  4.768; step_len1 =  0.864; [   51.232,    56.192]; seg_len2 =  4.960; step_len2 =  0.000; start_diff = -0.448; step_diff =  0.864; score = 14.7453;   55
[   53.728,    58.688]; seg_len1 =  4.960; step_len1 =  2.944; [   52.384,    57.344]; seg_len2 =  4.960; step_len2 =  1.152; start_diff =  1.344; step_diff =  1.792; score =  3.7225;   22
[   53.728,    58.688]; seg_len1 =  4.960; step_len1 =  0.000; [   53.184,    58.048]; seg_len2 =  4.864; step_len2 =  0.800; start_diff =  0.544; step_diff = -0.800; score =  4.1488;   29
[   53.760,    58.720]; seg_len1 =  4.960; step_len1 =  0.032; [   54.560,    59.456]; seg_len2 =  4.896; step_len2 =  1.376; start_diff = -0.800; step_diff = -1.344; score = 12.6126;   84
[   55.072,    60.032]; seg_len1 =  4.960; step_len1 =  1.312; [   56.192,    61.152]; seg_len2 =  4.960; step_len2 =  1.632; start_diff = -1.120; step_diff = -0.320; score = 20.3445;  189
[   55.776,    60.672]; seg_len1 =  4.896; step_len1 =  0.704; [   56.192,    61.152]; seg_len2 =  4.960; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.704; score = 19.5910;  182
[   56.768,    61.728]; seg_len1 =  4.960; step_len1 =  0.992; [   57.184,    62.112]; seg_len2 =  4.928; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 23.1214;  200
[   57.760,    62.720]; seg_len1 =  4.960; step_len1 =  0.992; [   58.240,    62.976]; seg_len2 =  4.736; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.064; score = 21.4022;  174
[   58.720,    63.648]; seg_len1 =  4.928; step_len1 =  0.960; [   59.264,    64.224]; seg_len2 =  4.960; step_len2 =  1.024; start_diff = -0.544; step_diff = -0.064; score = 23.1803;  207
[   59.712,    64.672]; seg_len1 =  4.960; step_len1 =  0.992; [   60.128,    65.088]; seg_len2 =  4.960; step_len2 =  0.864; start_diff = -0.416; step_diff =  0.128; score = 24.3874;  209
