[   30.944,    70.912]; seg_len1 = 39.968; step_len1 =  0.704; [   31.424,    71.392]; seg_len2 = 39.968; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.352; score = 25.1389; 1041
[   31.936,    71.840]; seg_len1 = 39.904; step_len1 =  0.992; [   32.416,    72.384]; seg_len2 = 39.968; step_len2 =  0.992; start_diff = -0.480; step_diff =  0.000; score = 25.0236; 1062
[   33.152,    73.024]; seg_len1 = 39.872; step_len1 =  1.216; [   33.984,    73.952]; seg_len2 = 39.968; step_len2 =  1.568; start_diff = -0.832; step_diff = -0.352; score = 25.3556; 1123
[   33.952,    73.824]; seg_len1 = 39.872; step_len1 =  0.800; [   34.400,    74.272]; seg_len2 = 39.872; step_len2 =  0.416; start_diff = -0.448; step_diff =  0.384; score = 25.3850; 1121
[   34.944,    74.848]; seg_len1 = 39.904; step_len1 =  0.992; [   35.328,    75.296]; seg_len2 = 39.968; step_len2 =  0.928; start_diff = -0.384; step_diff =  0.064; score = 26.5840; 1200
[   36.384,    76.352]; seg_len1 = 39.968; step_len1 =  1.440; [   36.384,    76.352]; seg_len2 = 39.968; step_len2 =  1.056; start_diff =  0.000; step_diff =  0.384; score = 26.6079; 1237
[   36.928,    76.864]; seg_len1 = 39.936; step_len1 =  0.544; [   37.312,    77.280]; seg_len2 = 39.968; step_len2 =  0.928; start_diff = -0.384; step_diff = -0.384; score = 27.3702; 1276
[   37.888,    77.792]; seg_len1 = 39.904; step_len1 =  0.960; [   38.816,    78.784]; seg_len2 = 39.968; step_len2 =  1.504; start_diff = -0.928; step_diff = -0.544; score = 28.6511; 1336
[   38.880,    78.816]; seg_len1 = 39.936; step_len1 =  0.992; [   39.296,    79.264]; seg_len2 = 39.968; step_len2 =  0.480; start_diff = -0.416; step_diff =  0.512; score = 28.5623; 1345
[   39.872,    79.808]; seg_len1 = 39.936; step_len1 =  0.992; [   40.288,    80.256]; seg_len2 = 39.968; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 28.4459; 1360
[   40.896,    80.864]; seg_len1 = 39.968; step_len1 =  1.024; [   41.312,    81.280]; seg_len2 = 39.968; step_len2 =  1.024; start_diff = -0.416; step_diff =  0.000; score = 29.3328; 1398
