[   30.944,    45.888]; seg_len1 = 14.944; step_len1 =  0.704; [   31.424,    46.368]; seg_len2 = 14.944; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.352; score = 23.9374;  321
[   31.936,    46.368]; seg_len1 = 14.432; step_len1 =  0.992; [   32.416,    47.328]; seg_len2 = 14.912; step_len2 =  0.992; start_diff = -0.480; step_diff =  0.000; score = 22.9496;  305
[   33.152,    47.328]; seg_len1 = 14.176; step_len1 =  1.216; [   33.984,    48.512]; seg_len2 = 14.528; step_len2 =  1.568; start_diff = -0.832; step_diff = -0.352; score = 20.6637;  274
[   33.952,    48.896]; seg_len1 = 14.944; step_len1 =  0.800; [   34.400,    48.512]; seg_len2 = 14.112; step_len2 =  0.416; start_diff = -0.448; step_diff =  0.384; score = 20.8594;  267
[   34.944,    49.536]; seg_len1 = 14.592; step_len1 =  0.992; [   35.328,    48.512]; seg_len2 = 13.184; step_len2 =  0.928; start_diff = -0.384; step_diff =  0.064; score = 21.6216;  256
[   36.384,    51.296]; seg_len1 = 14.912; step_len1 =  1.440; [   36.384,    51.264]; seg_len2 = 14.880; step_len2 =  1.056; start_diff =  0.000; step_diff =  0.384; score = 18.5549;  208
[   36.928,    51.488]; seg_len1 = 14.560; step_len1 =  0.544; [   37.312,    52.000]; seg_len2 = 14.688; step_len2 =  0.928; start_diff = -0.384; step_diff = -0.384; score = 20.4975;  206
[   37.888,    51.488]; seg_len1 = 13.600; step_len1 =  0.960; [   38.816,    53.728]; seg_len2 = 14.912; step_len2 =  1.504; start_diff = -0.928; step_diff = -0.544; score = 22.8723;  258
[   38.880,    53.792]; seg_len1 = 14.912; step_len1 =  0.992; [   39.296,    53.920]; seg_len2 = 14.624; step_len2 =  0.480; start_diff = -0.416; step_diff =  0.512; score = 21.8412;  242
[   39.872,    54.720]; seg_len1 = 14.848; step_len1 =  0.992; [   40.288,    54.560]; seg_len2 = 14.272; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 18.9753;  200
[   40.896,    55.840]; seg_len1 = 14.944; step_len1 =  1.024; [   41.312,    56.256]; seg_len2 = 14.944; step_len2 =  1.024; start_diff = -0.416; step_diff =  0.000; score = 21.0695;  197
[   41.856,    56.800]; seg_len1 = 14.944; step_len1 =  0.960; [   42.560,    57.504]; seg_len2 = 14.944; step_len2 =  1.248; start_diff = -0.704; step_diff = -0.288; score = 19.0148;  193
[   42.880,    57.792]; seg_len1 = 14.912; step_len1 =  1.024; [   43.328,    58.272]; seg_len2 = 14.944; step_len2 =  0.768; start_diff = -0.448; step_diff =  0.256; score = 16.7820;  194
[   43.840,    58.752]; seg_len1 = 14.912; step_len1 =  0.960; [   44.256,    59.008]; seg_len2 = 14.752; step_len2 =  0.928; start_diff = -0.416; step_diff =  0.032; score = 16.3606;  196
[   44.896,    59.840]; seg_len1 = 14.944; step_len1 =  1.056; [   45.344,    60.160]; seg_len2 = 14.816; step_len2 =  1.088; start_diff = -0.448; step_diff = -0.032; score = 18.3934;  245
[   45.888,    60.832]; seg_len1 = 14.944; step_len1 =  0.992; [   46.272,    61.184]; seg_len2 = 14.912; step_len2 =  0.928; start_diff = -0.384; step_diff =  0.064; score = 22.6985;  323
[   47.328,    62.112]; seg_len1 = 14.784; step_len1 =  1.440; [   47.232,    62.112]; seg_len2 = 14.880; step_len2 =  0.960; start_diff =  0.096; step_diff =  0.480; score = 25.3752;  372
[   48.768,    63.712]; seg_len1 = 14.944; step_len1 =  1.440; [   48.480,    63.424]; seg_len2 = 14.944; step_len2 =  1.248; start_diff =  0.288; step_diff =  0.192; score = 26.5513;  445
[   48.800,    63.744]; seg_len1 = 14.944; step_len1 =  0.032; [   51.232,    65.440]; seg_len2 = 14.208; step_len2 =  2.752; start_diff = -2.432; step_diff = -2.720; score = 30.0346;  607
[   49.920,    64.864]; seg_len1 = 14.944; step_len1 =  1.120; [   51.232,    65.440]; seg_len2 = 14.208; step_len2 =  0.000; start_diff = -1.312; step_diff =  1.120; score = 28.8966;  584
[   50.784,    65.728]; seg_len1 = 14.944; step_len1 =  0.864; [   51.232,    65.440]; seg_len2 = 14.208; step_len2 =  0.000; start_diff = -0.448; step_diff =  0.864; score = 27.3627;  553
[   53.728,    67.360]; seg_len1 = 13.632; step_len1 =  2.944; [   52.384,    67.328]; seg_len2 = 14.944; step_len2 =  1.152; start_diff =  1.344; step_diff =  1.792; score = 22.6972;  515
[   53.728,    67.360]; seg_len1 = 13.632; step_len1 =  0.000; [   53.184,    68.128]; seg_len2 = 14.944; step_len2 =  0.800; start_diff =  0.544; step_diff = -0.800; score = 22.8316;  537
[   53.760,    68.704]; seg_len1 = 14.944; step_len1 =  0.032; [   54.560,    69.472]; seg_len2 = 14.912; step_len2 =  1.376; start_diff = -0.800; step_diff = -1.344; score = 25.7493;  567
[   55.072,    70.016]; seg_len1 = 14.944; step_len1 =  1.312; [   56.192,    70.880]; seg_len2 = 14.688; step_len2 =  1.632; start_diff = -1.120; step_diff = -0.320; score = 24.7916;  565
[   55.776,    70.720]; seg_len1 = 14.944; step_len1 =  0.704; [   56.192,    70.880]; seg_len2 = 14.688; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.704; score = 24.4844;  558
[   56.768,    71.584]; seg_len1 = 14.816; step_len1 =  0.992; [   57.184,    72.128]; seg_len2 = 14.944; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 24.9670;  567
[   57.760,    72.704]; seg_len1 = 14.944; step_len1 =  0.992; [   58.240,    73.184]; seg_len2 = 14.944; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.064; score = 25.1042;  542
[   58.720,    73.440]; seg_len1 = 14.720; step_len1 =  0.960; [   59.264,    74.176]; seg_len2 = 14.912; step_len2 =  1.024; start_diff = -0.544; step_diff = -0.064; score = 24.6317;  535
[   59.712,    74.304]; seg_len1 = 14.592; step_len1 =  0.992; [   60.128,    75.008]; seg_len2 = 14.880; step_len2 =  0.864; start_diff = -0.416; step_diff =  0.128; score = 25.5985;  556
[   60.800,    75.488]; seg_len1 = 14.688; step_len1 =  1.088; [   61.152,    75.904]; seg_len2 = 14.752; step_len2 =  1.024; start_diff = -0.352; step_diff =  0.064; score = 27.5212;  584
