[    0.192,    40.160]; seg_len = 39.968; step_len =  0.000; score =  0.049;    2
[    1.600,    41.536]; seg_len = 39.936; step_len =  1.408; score =  0.049;    2
[    2.176,    42.144]; seg_len = 39.968; step_len =  0.576; score =  0.049;    2
[    3.328,    43.232]; seg_len = 39.904; step_len =  1.152; score =  0.049;    2
[    4.160,    44.096]; seg_len = 39.936; step_len =  0.832; score =  0.097;    4
[    5.280,    44.896]; seg_len = 39.616; step_len =  1.120; score =  0.097;    4
[    6.144,    46.112]; seg_len = 39.968; step_len =  0.864; score =  0.097;    4
[    7.200,    46.368]; seg_len = 39.168; step_len =  1.056; score =  0.097;    4
[    8.448,    47.328]; seg_len = 38.880; step_len =  1.248; score =  0.097;    4
[    9.120,    49.088]; seg_len = 39.968; step_len =  0.672; score =  0.097;    4
[   10.272,    50.240]; seg_len = 39.968; step_len =  1.152; score =  0.097;    4
[   11.104,    50.976]; seg_len = 39.872; step_len =  0.832; score =  0.097;    4
[   12.096,    51.488]; seg_len = 39.392; step_len =  0.992; score =  0.097;    4
[   13.088,    51.488]; seg_len = 38.400; step_len =  0.992; score =  0.097;    4
[   14.144,    54.080]; seg_len = 39.936; step_len =  1.056; score =  0.097;    4
[   15.072,    54.720]; seg_len = 39.648; step_len =  0.928; score =  0.097;    4
[   16.064,    55.936]; seg_len = 39.872; step_len =  0.992; score =  0.097;    4
[   17.888,    57.856]; seg_len = 39.968; step_len =  1.824; score =  0.097;    4
[   18.048,    58.016]; seg_len = 39.968; step_len =  0.160; score =  0.097;    4
[   19.040,    58.848]; seg_len = 39.808; step_len =  0.992; score =  0.097;    4
[   20.032,    60.000]; seg_len = 39.968; step_len =  0.992; score =  0.097;    4
[   21.024,    60.992]; seg_len = 39.968; step_len =  0.992; score =  0.097;    4
[   22.080,    61.984]; seg_len = 39.904; step_len =  1.056; score =  0.097;    4
[   23.008,    62.976]; seg_len = 39.968; step_len =  0.928; score =  0.097;    4
[   24.000,    63.968]; seg_len = 39.968; step_len =  0.992; score =  0.097;    4
[   25.024,    64.928]; seg_len = 39.904; step_len =  1.024; score =  0.097;    4
[   26.048,    65.984]; seg_len = 39.936; step_len =  1.024; score =  0.097;    4
[   27.072,    67.008]; seg_len = 39.936; step_len =  1.024; score =  0.097;    4
[   27.968,    67.360]; seg_len = 39.392; step_len =  0.896; score =  0.097;    4
[   29.088,    68.960]; seg_len = 39.872; step_len =  1.120; score =  0.097;    4
[   30.240,    70.112]; seg_len = 39.872; step_len =  1.152; score =  0.097;    4
[   30.944,    70.912]; seg_len = 39.968; step_len =  0.704; score =  0.097;    4
[   31.936,    71.840]; seg_len = 39.904; step_len =  0.992; score =  0.097;    4
[   33.152,    73.024]; seg_len = 39.872; step_len =  1.216; score =  0.097;    4
[   33.952,    73.824]; seg_len = 39.872; step_len =  0.800; score =  0.097;    4
[   34.944,    74.848]; seg_len = 39.904; step_len =  0.992; score =  0.097;    4
[   36.384,    76.352]; seg_len = 39.968; step_len =  1.440; score =  0.097;    4
[   36.928,    76.864]; seg_len = 39.936; step_len =  0.544; score =  0.097;    4
[   37.888,    77.792]; seg_len = 39.904; step_len =  0.960; score =  0.097;    4
[   38.880,    78.816]; seg_len = 39.936; step_len =  0.992; score =  0.097;    4
[   39.872,    79.808]; seg_len = 39.936; step_len =  0.992; score =  0.097;    4
[   40.896,    80.864]; seg_len = 39.968; step_len =  1.024; score =  0.097;    4
[   41.856,    81.728]; seg_len = 39.872; step_len =  0.960; score =  0.097;    4
